,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0
07:00,0.0,0.0,0.0,0.0
08:00,0.0,0.0,0.0,0.0
09:00,0.0,0.0,0.0,0.0
10:00,0.0,0.0,0.0,0.0
11:00,2.2625298382172334e-12,1.885884109674924e-12,1.6970335904617789e-12,1.5085875249836787e-12
12:00,5.141793388764348e-12,4.2858336200962134e-12,3.856654594585552e-12,3.4283947249268006e-12
13:00,8.8662627202613e-12,7.390286613642679e-12,6.650230818612435e-12,5.911759971993713e-12
14:00,1.3743141219191627e-11,1.1455306005031116e-11,1.0308183297067639e-11,9.163517336725105e-12
15:00,1.8539794891484385e-11,1.5453455681288448e-11,1.390596232574408e-11,1.2361783175901738e-11
16:00,2.501058448983393e-11,2.0847046110218526e-11,1.875944408749732e-11,1.6676312999983998e-11
17:00,3.373981967893486e-11,2.8123116310341123e-11,2.5306896008227716e-11,2.249670709445597e-11
18:00,4.551574684029298e-11,3.7938692456640044e-11,3.413955032911063e-11,3.034854467496687e-11
19:00,6.140172739936348e-11,5.118011707650813e-11,4.6054992137121386e-11,4.094084347639643e-11
20:00,4.935386930000315e-11,4.113787862227189e-11,3.701837324159262e-11,3.290769044368778e-11
21:00,3.565999376499484e-11,2.9723636991015753e-11,2.6747142173620014e-11,2.377702199819643e-11
22:00,1.9541153011099136e-11,1.628429417591595e-11,1.4655864758324355e-11,1.3027435340732758e-11
23:00,0.0,0.0,0.0,0.0
