,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0
07:00,0.0,0.0,0.0,0.0
08:00,0.0,0.0,0.0,0.0
09:00,0.0,0.0,0.0,0.0
10:00,8.06435464562336e-12,6.721873021991957e-12,6.048751485108743e-12,5.37707154616694e-12
11:00,1.087898892090705e-11,9.067952160769823e-12,8.159896641888266e-12,7.2537858698243e-12
12:00,1.467599146392322e-11,1.2232863685610427e-11,1.1007877141294419e-11,9.785514102517567e-12
13:00,1.9798230057503345e-11,1.65023978179019e-11,1.4849864462228285e-11,1.3200870272296833e-11
14:00,2.6708240759976982e-11,2.2262091750489723e-11,2.0032788494641538e-11,1.780825964996327e-11
15:00,3.602999472281365e-11,3.003204349913271e-11,2.7024665167268724e-11,2.4023727619386074e-11
16:00,4.860524253141025e-11,4.051387654145113e-11,3.645685809533402e-11,3.240852840617937e-11
17:00,6.556952394004468e-11,5.465409613113226e-11,4.918109045780451e-11,4.371980610563451e-11
18:00,8.844584950023872e-11,7.371835316416489e-11,6.633853541639701e-11,5.897103519098242e-11
19:00,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
