,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0
07:00,0.0,0.0,0.0,0.0
08:00,9.185069825731192e-15,8.038416317802723e-15,6.889023359798688e-15,5.741684000833525e-15
09:00,1.8946165117639425e-14,1.6580951031223796e-14,1.4210079460475639e-14,1.1843452830001374e-14
10:00,2.945822110842595e-14,2.578069595480799e-14,2.2094374247591955e-14,1.841465284239653e-14
11:00,3.085303167989589e-14,2.7001380229166058e-14,2.314051571883442e-14,1.9286564026713663e-14
12:00,3.23138848179932e-14,2.827986240394822e-14,2.42361907032502e-14,2.0199759134210945e-14
13:00,3.3843907557095636e-14,2.961887913871839e-14,2.5383744551822055e-14,2.1156192907921907e-14
14:00,3.544637499281525e-14,3.1021296670507223e-14,2.658563366501909e-14,2.2157912645560164e-14
15:00,3.7124717292517954e-14,3.2490116949147615e-14,2.7844430750854968e-14,2.3207062581870968e-14
16:00,3.888252703777861e-14,3.402848406310756e-14,2.9162830331905855e-14,2.4305888478479425e-14
17:00,4.072356691449542e-14,3.5639690969580866e-14,3.0543654513081116e-14,2.5456742431064218e-14
18:00,4.265177776712058e-14,3.7327186543238295e-14,3.1989859022489974e-14,2.6662087904144318e-14
19:00,4.4671287034248184e-14,3.9094582958727936e-14,3.350453953833533e-14,2.7924505004256323e-14
20:00,3.078426554595614e-14,2.694120156233572e-14,2.308893927932637e-14,1.9243582027982292e-14
21:00,1.5993846127580437e-14,1.3997195687330168e-14,1.1995769215486572e-14,9.997926386338342e-15
22:00,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
