,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0
07:00,0.0,0.0,0.0,0.0
08:00,2.8126241701282032e-14,2.4614999162902934e-14,2.1095357655451894e-14,1.75820182219246e-14
09:00,2.9457984684548785e-14,2.5780489126562694e-14,2.2094196918639697e-14,1.841450518009679e-14
10:00,3.08527840616385e-14,2.700116360785737e-14,2.314032999357406e-14,1.9286409372785386e-14
11:00,3.231362547531576e-14,2.827963552588687e-14,2.4235996184127094e-14,2.01995971576093e-14
12:00,3.384363593486094e-14,2.96186415182595e-14,2.5383540822457372e-14,2.115602326192711e-14
13:00,3.544609050960166e-14,3.102104779901172e-14,2.658542028931946e-14,2.2157734967036072e-14
14:00,3.712441933937369e-14,3.2489856293892544e-14,2.7844207272078083e-14,2.3206876490487038e-14
15:00,3.8882214976918996e-14,3.402821106614637e-14,2.916259627168343e-14,2.4305693575897076e-14
16:00,4.0723240077937766e-14,3.563940504654919e-14,3.0543409370394915e-14,2.5456538300084214e-14
17:00,4.265143545525332e-14,3.7326887082102216e-14,3.1989602272598655e-14,2.6661874107813115e-14
18:00,4.467092851433484e-14,3.909426931847525e-14,3.35042706316523e-14,2.7924281084931682e-14
19:00,4.67860420882276e-14,4.094533493199592e-14,3.509065667629526e-14,2.924646148118161e-14
20:00,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
