,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0
07:00,0.0,0.0,0.0,0.0
08:00,9.185069825731192e-15,8.038416317802723e-15,6.889023359798688e-15,5.741684000833525e-15
09:00,1.8946165117639425e-14,1.6580951031223796e-14,1.4210079460475639e-14,1.1843452830001374e-14
10:00,3.8889813889211147e-10,3.1126616962794657e-10,2.5930357652141187e-10,2.0749329114116359e-10
11:00,6.538734413242704e-09,5.2335969006813806e-09,4.359978512327683e-09,3.488986536648762e-09
12:00,1.0882525364199665e-07,8.71000071067583e-08,7.255996913822527e-08,5.806233588785881e-08
13:00,1.0799893297498427e-06,8.643282592936034e-07,7.200641547181672e-07,5.76182917090366e-07
14:00,0.0036810109005464818,0.0029462973520813303,0.0024543835785898883,0.0019640009055877494
15:00,0.05655123917817638,0.045259700907764315,0.037704912542388724,0.030170994456128513
16:00,2.52326555291494,2.019398291004815,1.6823420790235222,1.3461790670809328
17:00,10.357372868650625,8.288593972661905,6.9054093423248535,5.525471144153857
18:00,15.856291124469069,12.688452209338502,10.571401071391294,8.45868650370101
19:00,8.6979028152887,6.959857063743381,5.798808015505441,4.639797647056656
20:00,1.554039036400939e-08,1.887602483325296e-07,3.7041462180871946e-11,3.1215718791016657e-07
21:00,3.567598761112242e-11,2.973763418670308e-11,2.67591379428355e-11,2.378701992458277e-11
22:00,1.9541153011099136e-11,1.628429417591595e-11,1.4655864758324355e-11,1.3027435340732758e-11
23:00,0.0,0.0,0.0,0.0
