,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,2.2393866463156793,1.7922209086318666,1.493075914675967,1.1947345639616471
07:00,9.984492288697263,7.990218695750994,6.65681265850607,5.326559299581127
08:00,16.143851149493177,12.918575956904641,10.763121692069534,8.612095033692206
09:00,9.12733572082334,7.303492911019743,6.085110336197013,4.868881065674102
10:00,1.7099389242241647e-08,2.0822133523389027e-07,6.071891815102318e-12,3.44373452212785e-07
11:00,1.0911302546382366e-11,9.09623179629571e-12,8.184132638072392e-12,7.273985466981909e-12
12:00,1.470983509985808e-11,1.2262482327128687e-11,1.1033260682116875e-11,9.806670125779494e-12
13:00,1.9833676148012946e-11,1.6533418865700913e-11,1.4876449882517606e-11,1.322302800726387e-11
14:00,2.6745365179316356e-11,2.2294581606783614e-11,2.0060632701913618e-11,1.7831466526453758e-11
15:00,3.606887693779057e-11,3.006607171019886e-11,2.7053827763540408e-11,2.404803331296197e-11
16:00,4.864596577148819e-11,4.054951594649768e-11,3.648740150470441e-11,3.2433984944479454e-11
17:00,6.561217537549993e-11,5.4691423018214363e-11,4.921308006007711e-11,4.374646797974232e-11
18:00,8.849052042875306e-11,7.375744743348337e-11,6.637203968702866e-11,5.899895947206735e-11
19:00,4.67860420882276e-14,4.094533493199592e-14,3.509065667629526e-14,2.924646148118161e-14
20:00,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
