,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,2.2393866463156793,1.7922209086318666,1.493075914675967,1.1947345639616471
07:00,9.984492288697263,7.990218695750994,6.65681265850607,5.326559299581127
08:00,16.14385114949315,12.918575956904617,10.763121692069513,8.612095033692189
09:00,9.127335720823309,7.303492911019717,6.0851103361969905,4.868881065674083
10:00,1.709129403481196e-08,2.0821458635970469e-07,0.0,3.4436805585482945e-07
11:00,0.0,0.0,0.0,0.0
12:00,0.0,0.0,0.0,0.0
13:00,0.0,0.0,0.0,0.0
14:00,0.0,0.0,0.0,0.0
15:00,0.0,0.0,0.0,0.0
16:00,0.0,0.0,0.0,0.0
17:00,0.0,0.0,0.0,0.0
18:00,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
